date,label,predict,pos_quantile,pos
2019-10-18,0.7102679090216403,-0.015066244,0,-0.6961311097599496
2019-10-21,-0.4532060290798771,-0.016233906,-1,-0.6998796127399931
2019-10-22,0.2700930015170915,0.31513438,0,0.8359150665687205
2019-10-23,0.16249218495922454,0.31513438,0,0.8359150665687205
2019-10-24,0.40528579571796314,0.31513438,0,0.8359150665687205
2019-10-25,0.5719332663103411,0.31513447,1,0.8359152351849878
2019-10-28,-0.17818342635485168,0.31513438,0,0.8359150665687205
2019-10-29,0.3030034667402455,0.31513438,0,0.8359150665687205
2019-10-30,-0.44424221730790886,0.14771566,0,0.1580021292583611
2019-10-31,1.0609590975539138,0.3151341,0,0.8359145607189721
2019-11-01,0.3412802672838516,0.31513438,0,0.8359150665687205
2019-11-04,-0.25181910434918364,0.31513438,0,0.8359150665687205
2019-11-05,-0.018666483922195897,0.31513438,0,0.8359150665687205
2019-11-06,0.2310437639326778,0.31513447,1,0.8359152351849878
2019-11-07,0.20731935827526352,0.31513438,0,0.8359150665687205
2019-11-08,-0.3640144429980007,-0.015933704,-1,-0.6989195355921737
2019-11-11,0.08867403357639791,-0.014717992,0,-0.6950057162933466
2019-11-12,-0.02187992107016926,-0.014951061,0,-0.695759269658175
2019-11-13,-0.0053265365311963,0.14768708,0,0.15782766424022865
2019-11-14,0.8846835330378774,0.31513438,0,0.8359150665687205
2019-11-15,-0.06891107033866867,0.31513438,0,0.8359150665687205
2019-11-18,-0.21402252600816912,0.19896325,0,0.4463806340861954
2019-11-19,-0.6356219906115886,0.31513447,1,0.8359152351849878
2019-11-20,-0.3328371280616838,0.31513438,0,0.8359150665687205
2019-11-21,0.18492412550543422,0.31513447,1,0.8359152351849878
2019-11-22,0.9083876682557972,0.31513438,0,0.8359150665687205
2019-11-25,0.1657898142258869,0.315134,0,0.835914335896406
2019-11-26,0.4393112489897413,-0.014299534,0,-0.6936489271416937
2019-11-27,-0.15424828619901781,-0.012503482,0,-0.6877692863732626
2019-11-28,-0.7224600092511757,-0.014231551,0,-0.6934280365520786
2019-11-29,-1.3530781892808785,-0.015395723,0,-0.6971927011855746
2019-12-02,-1.0396141310255045,-0.014711387,0,-0.6949843390734524
2019-12-03,0.8063338848668521,0.14772409,0,0.1580536118369696
2019-12-04,0.11280288698219382,-0.019497462,-1,-0.7101547087770776
2019-12-05,1.1863007011360232,-0.014900938,0,-0.6955973396966121
2019-12-06,-0.5820268167304445,-0.016690105,-1,-0.7013337541732675
2019-12-09,-0.27647046849347356,-0.015229624,0,-0.6966579057378629
2019-12-10,0.3098873710386272,0.31513438,0,0.8359150665687205
2019-12-11,1.12024975592095,0.14770383,0,0.15792990666681692
2019-12-12,-0.13516447130924172,-0.023819093,-1,-0.7233095985642038
2019-12-13,0.9042778392724401,0.31513438,0,0.8359150665687205
2019-12-16,-0.11492986783891328,-0.015693754,0,-0.6981503370447067
2019-12-17,-0.2289165232020364,-0.012993962,0,-0.6893840119150348
2019-12-18,0.5137129286103463,-0.019195411,-1,-0.7092161294831224
2019-12-19,0.5798363980307303,0.315134,0,0.835914335896406
2019-12-20,-0.05400796656030923,-0.013432547,0,-0.6908221198067697
2019-12-23,-0.2188353655585678,-0.017263249,-1,-0.7031524185715018
2019-12-24,-0.185534224630746,-0.02285529,-1,-0.7204199359859109
2019-12-25,0.6287820068741435,-0.026594121,-1,-0.7314898251938854
2019-12-26,-0.1931448092262598,-0.021557763,-1,-0.7164898400592759
2019-12-27,-1.1201814786357411,-0.022166483,-1,-0.7183393133861218
2019-12-30,0.30406886539184336,-0.021898221,-1,-0.7175254997012783
2019-12-31,-0.17938311811537103,-0.01516974,0,-0.6964649052034572
2020-01-01,1.1801118582554522,-0.02405972,-1,-0.7240271230214491
2020-01-02,-1.3378183269008956,-0.017233402,-1,-0.7030579358983088
2020-01-03,0.4016883710028303,-0.017299503,-1,-0.703267151204099
2020-01-06,-0.6392802229635934,-0.019207183,-1,-0.7092527562698412
2020-01-07,0.6362514254216931,-0.015635967,0,-0.6979648509090792
2020-01-08,0.910263023240459,0.31513438,0,0.8359150665687205
2020-01-09,-0.6768829657854702,0.31513447,1,0.8359152351849878
2020-01-10,0.9636242330940141,-0.01311088,0,-0.6897679156091044
2020-01-13,-0.4648222948300283,-0.013828341,0,-0.6921152382919283
2020-01-14,0.11229904314585927,-0.017872807,-1,-0.7050765877288334
2020-01-15,1.1956711481052078,0.31513438,0,0.8359150665687205
2020-01-16,0.42064970972471444,0.31513438,0,0.8359150665687205
2020-01-17,-0.24500220530316733,-0.012338944,0,-0.6872260720488811
2020-01-20,-0.6986384285475273,-0.01962658,-1,-0.7105551585209245
2020-01-21,-0.17767365821250852,-0.009351976,0,-0.677230506658194
2020-01-22,-0.02574443066045192,0.31513447,1,0.8359152351849878
2020-01-23,-1.7789897460342146,0.31513438,0,0.8359150665687205
2020-01-24,-2.6836724845787265,-0.016079608,-1,-0.6993864684709704
2020-01-27,1.4588689354472335,-0.015516248,0,-0.6975802716796121
2020-01-28,-0.2776724102510281,0.3151341,0,0.8359145607189721
2020-01-29,0.3639745246989404,0.31513438,0,0.8359150665687205
2020-01-30,-2.7558676985082946,0.31513438,0,0.8359150665687205
2020-01-31,0.9898469083967942,0.31611544,1,0.8377558199418443
2020-02-03,2.0137235705271026,0.3151341,0,0.8359145607189721
2020-02-04,1.43035191395161,0.31513438,0,0.8359150665687205
2020-02-05,0.30288126471121146,0.31513438,0,0.8359150665687205
2020-02-06,-0.9373949326045422,0.315134,0,0.835914335896406
2020-02-07,0.8811931566997138,0.31513438,0,0.8359150665687205
2020-02-10,0.06803079216808752,-0.014776729,0,-0.6951957663830899
2020-02-11,0.7506283306334253,0.31513438,0,0.8359150665687205
2020-02-12,-0.43078942055079633,0.31513447,1,0.8359152351849878
2020-02-13,0.08364880792329472,0.3151341,0,0.8359145607189721
2020-02-14,-0.19044916878262197,0.14769161,0,0.15785531733012523
2020-02-17,-0.6240670784382893,-0.019329336,-1,-0.7096325911788939
2020-02-18,0.531262807909326,-0.013064116,0,-0.689614412867181
2020-02-19,-0.7654451702826605,-0.018771097,-1,-0.7078933729404226
2020-02-20,-1.7270273167692776,-0.01445863,0,-0.6941653541124764
2020-02-21,-4.100461452440867,-0.015194081,0,-0.6965433662269962
2020-02-24,-3.203948719047894,0.31513447,1,0.8117764545311011
2020-02-25,-0.3368889364017088,0.24005276,0,0.5784911752048018
2020-02-26,-3.8466493765981244,0.31513438,0,0.8053313697752089
2020-02-27,-0.5787284066332188,0.14768732,0,0.07087141772660797
2020-02-28,3.497794897854303,0.19896355,0,0.37083042094395435
2020-03-02,-2.001751005444798,0.31513438,0,0.8025777070512324
2020-03-03,2.816940179807787,0.31513447,1,0.7975650788574341
2020-03-04,-2.1522110804073558,-0.011837985,0,-0.7393493458373219
2020-03-05,-1.0116880447435044,0.31513438,0,0.7966974298303607
2020-03-06,-3.963532076369245,0.31513438,0,0.7917318252479167
2020-03-09,2.468851047029325,0.31513438,0,0.7867959075330345
2020-03-10,-2.198816042211419,0.18350253,0,0.23343321966755623
2020-03-11,-3.7140611718744787,0.30905637,0,0.7681656689151661
2020-03-12,3.1978122421558095,0.14772284,0,0.001101287177776003
2020-03-13,-3.5948836321376123,0.19896376,0,0.3123936456026171
2020-03-16,1.8035674893681677,0.33045554,1,0.8157482817245701
2020-03-17,-1.354870008622907,0.18980673,0,0.24488406825735778
2020-03-18,0.28935644160665497,0.31513438,0,0.7767599481337496
2020-03-19,-1.0920997799409211,0.31513438,0,0.7719488361208741
2020-03-20,-0.6629356231370646,0.31513438,0,0.7671685210251649
2020-03-23,2.5404892213265877,0.31513438,0,0.7624193046364746
