Date,stock,oil,bond,dollar,gold
2018-08-15,2818.37,47.01,119.46875,96.714,1174.85
2018-08-16,2840.69,47.42,119.4375,96.598,1174.16
2018-08-17,2850.13,47.7,119.453125,96.132,1184.25
2018-08-20,2857.05,47.86,119.796875,95.729,1190.48
2018-08-21,2862.96,48.34,119.6875,95.227,1195.99
2018-08-22,2861.82,49.73,119.75,95.084,1195.8
2018-08-23,2856.98,49.59,119.640625,95.64,1185.56
2018-08-24,2874.69,50.07,119.75,95.164,1205.35
2018-08-27,2896.74,50.62,119.46875,94.758,1211.38
2018-08-28,2897.52,50.4,119.25,94.717,1201.0
2018-08-29,2914.04,51.37,119.1875,94.529,1206.6
2018-08-30,2901.13,51.46,119.421875,94.698,1199.98
2018-08-31,2901.52,51.41,119.453125,95.099,1201.15
2018-09-03,,51.61,,95.135,1201.27
2018-09-04,2896.72,51.51,119.171875,95.416,1191.52
2018-09-05,2888.6,51.02,119.1875,95.1,1196.73
2018-09-06,2878.05,50.7,119.421875,95.029,1199.98
2018-09-07,2871.68,51.01,118.875,95.339,1196.93
2018-09-10,2877.13,51.18,118.90625,95.148,1195.88
2018-09-11,2887.89,52.6,118.546875,95.106,1198.59
2018-09-12,2888.92,52.76,118.640625,94.807,1206.24
2018-09-13,2904.18,51.89,118.59375,94.54,1201.47
2018-09-14,2904.98,51.67,118.375,94.949,1194.85
2018-09-17,2888.8,51.6,118.46875,94.507,1201.46
2018-09-18,2904.31,52.2,117.953125,94.613,1198.36
2018-09-19,2907.95,52.49,117.90625,94.544,1204.04
2018-09-20,2930.75,52.07,117.921875,93.895,1207.18
2018-09-21,2929.67,52.11,117.921875,94.216,1200.04
2018-09-24,2919.37,53.85,117.765625,94.253,1199.03
2018-09-25,2915.56,53.92,117.71875,94.144,1201.22
2018-09-26,2905.97,54.09,118.046875,94.281,1194.44
2018-09-27,2914.0,54.04,118.015625,94.986,1182.83
2018-09-28,2913.98,54.71,117.96875,95.134,1190.88
2018-10-01,2924.59,56.03,117.875,95.308,1188.99
2018-10-02,2923.43,55.82,118.0,95.481,1203.32
2018-10-03,2925.51,56.79,117.1875,95.989,1197.35
2018-10-04,2901.61,55.98,117.171875,95.768,1199.92
2018-10-05,2885.57,55.47,116.875,95.595,1203.63
2018-10-08,2884.43,55.24,116.890625,95.752,1188.08
2018-10-09,2880.34,55.97,117.0625,95.681,1189.77
2018-10-10,2785.68,54.48,117.4375,95.459,1194.79
2018-10-11,2728.37,53.0,117.5,95.037,1224.09
2018-10-12,2767.13,53.16,117.40625,95.233,1217.05
2018-10-15,2750.79,53.26,117.453125,95.039,1227.06
2018-10-16,2809.92,53.79,117.390625,95.091,1224.95
2018-10-17,2809.21,53.0,117.109375,95.653,1222.29
2018-10-18,2768.78,52.33,117.34375,95.978,1225.81
2018-10-19,2767.78,52.78,117.234375,95.642,1226.49
2018-10-22,2755.88,52.75,117.21875,96.022,1222.1
2018-10-23,2740.69,50.28,117.484375,95.949,1230.3
2018-10-24,2656.1,49.91,118.0,96.367,1233.79
2018-10-25,2705.57,50.61,117.90625,96.596,1232.17
2018-10-26,2658.69,51.26,118.25,96.319,1233.53
2018-10-29,2641.25,50.69,118.15625,96.687,1229.42
2018-10-30,2682.63,50.15,117.90625,97.007,1222.93
2018-10-31,2711.74,49.77,117.78125,97.105,1214.76
2018-11-01,2740.37,48.54,117.890625,96.298,1233.43
2018-11-02,2723.06,48.45,117.296875,96.496,1232.89
2018-11-05,2738.31,48.51,117.375,96.32,1231.49
2018-11-06,2755.45,47.81,117.171875,96.264,1227.19
2018-11-07,2813.89,48.04,117.046875,96.17,1226.49
2018-11-08,2806.83,47.35,117.0,96.637,1224.0
